System performance,1
Frequency conversion,0
Handheld computers,0
Resource management,5
Programming,1
System-level design,0
Statistics,0
Automotive engineering,1
Power engineering computing,1
Servers,0
Decoding,2
DC-DC power converters,0
Parallel processing,0
Portable computers,2
Random access memory,0
Multimedia systems,7
Constraint theory,1
Job shop scheduling,4
Concrete,0
Logic devices,0
Educational institutions,0
Digital signal processors,0
Independent component analysis,0
Mobile handsets,0
User interfaces,0
Frequency estimation,0
Data communication,0
Interference constraints,0
Space exploration,1
Electronic mail,1
Kernel,0
Aerospace electronics,3
Dynamic scheduling,21
Frequency,27
Photovoltaic systems,0
Information security,0
Flash memory,0
Concurrency control,0
Instruments,0
Scalability,0
Integrated circuit modeling,0
Polynomials,5
Counting circuits,0
Safety,1
Target tracking,0
Circuits,7
Performance analysis,0
Field programmable gate arrays,1
Sufficient conditions,0
Layout,0
Transient analysis,0
Scheduling,4
System-on-a-chip,2
Hardware,31
Process control,3
Table lookup,0
Power system management,30
Code standards,0
Time varying systems,2
Prototypes,3
Pacemakers,0
Parasitic capacitance,0
Solar radiation,0
Generators,0
Stochastic processes,3
Schedules,6
Reliability engineering,1
Flow graphs,0
Demand forecasting,1
Approximation methods,0
Home appliances,1
Current measurement,0
Application specific integrated circuits,0
Switching circuits,1
Air traffic control,0
Industrial control,0
Algorithm design and analysis,6
Sensor systems,2
Registers,1
Computer aided software engineering,0
Condition monitoring,0
MPEG 4 Standard,1
Personal digital assistants,5
Dynamic range,0
Video coding,0
Power system restoration,0
Ant colony optimization,0
Energy management,42
Embedded computing,20
Multiaccess communication,0
Communication system security,1
High performance computing,0
Capacitors,0
Informatics,0
Quality of service,6
Estimation,0
Robustness,0
Energy dissipation,1
Embedded software,16
Hierarchical systems,0
Biological system modeling,0
Battery management systems,0
Large-scale systems,0
Distributed databases,0
Software systems,1
System analysis and design,0
Voltage,8
No Keyword,5
Multicore processing,1
Error analysis,1
Access protocols,0
Wireless sensor networks,10
Signal processing algorithms,0
Runtime,14
Scheduling algorithm,35
Computer displays,0
Cities and towns,0
Energy conservation,2
Software performance,1
Computer industry,1
Prediction algorithms,0
Optimal scheduling,2
Checkpointing,4
Nonlinear dynamical systems,1
Linux,0
Adaptive filters,1
Radio spectrum management,0
Load management,0
Parallel machines,0
Analytical models,2
Energy states,0
Single event upset,0
Technological innovation,1
Energy capture,0
Power system modeling,17
Encoding,0
Concurrent computing,2
Life estimation,0
Aging,0
MONOS devices,0
Accuracy,0
Temperature sensors,0
IP networks,0
Time to market,0
Legal factors,0
Cryptographic protocols,0
Costs,7
Aircraft,0
Control systems,6
Availability,1
Minimization,1
Solar power generation,1
Sun,0
Circuit faults,4
Wireless communication,1
Feedback,0
Video compression,0
Photovoltaic cells,1
Learning,0
Fault tolerant systems,11
Logic gates,0
Data processing,0
Conferences,0
Fuel cells,1
Context modeling,0
Redundancy,0
Energy consumption,84
Computer applications,3
Fault detection,1
Sensitivity analysis,0
Multiprocessing systems,4
Collaborative software,0
Airplanes,0
Yarn,0
Electromagnetic interference,0
Electromagnetic transients,1
Telecommunication traffic,0
Protocols,2
Mission critical systems,1
Benchmark testing,0
Error correction codes,0
Project management,0
Microprocessors,3
Optimization methods,1
Power system reliability,5
Exponential distribution,0
Smart cards,0
Time measurement,0
Modulation,0
Delay,17
Design methodology,3
Video codecs,1
Fault tolerance,11
Character generation,0
Reservoirs,0
Solar energy,6
Bandwidth,2
Timing,25
Energy efficiency,19
Delta modulation,0
Mathematical model,7
Protection,1
Transaction databases,0
Greedy algorithms,0
Adaptive scheduling,0
Radio frequency,1
Signal synthesis,0
Adaptive control,2
Computer networks,1
Application software,17
Software algorithms,0
Monitoring,5
Optimization,1
System testing,4
Silicon,0
Unified modeling language,1
Software testing,0
Degradation,0
Runtime environment,0
Approximation algorithms,1
Time frequency analysis,0
Logic programming,0
Testing,4
Computer science,17
Cryptography,2
Computational modeling,5
Real time systems,98
VLIW,0
Streaming media,2
Consumer electronics,0
Power system simulation,0
Power demand,6
Law,0
Voting,3
Design optimization,6
Subthreshold current,1
Decision support systems,0
Simulation,0
Clocks,12
Embedded systems,6
Energy storage,3
Stability,0
Data security,1
ISO standards,1
Light emitting diodes,1
Linear approximation,0
Leakage current,0
Algebra,0
Peer to peer computing,0
Feedback control,1
Constraint optimization,0
Microcontrollers,0
Partitioning algorithms,2
Power dissipation,2
Power generation,2
Distributed computing,2
Admission control,1
Cost function,1
Digital signal processing chips,0
Mixed integer linear programming,0
Program processors,3
Wearable computers,0
Manufacturing,0
Random variables,0
Automobiles,1
Sensor systems and applications,1
Surveillance,0
Java,0
Real-time systems,4
Wind turbines,0
Power supplies,1
Nonvolatile memory,0
Context,1
Batteries,38
Threshold voltage,5
Software design,0
Speech synthesis,0
Capacitive sensors,0
Computer network management,0
Embedded system,143
Database systems,0
CMOS technology,3
Time factors,5
Data models,0
Integrated circuit reliability,1
Process design,0
Voltage control,51
Very large scale integration,3
Equations,2
Filtering,0
Laboratories,1
Switches,6
Heuristic algorithms,5
Mobile computing,4
Muscles,0
Iterative algorithms,0
Operating systems,9
Traffic control,0
Oscillators,0
Genetic algorithms,1
Communication system software,0
Logic,0
Virtual machine monitors,0
Upper bound,1
Large scale integration,0
Collaboration,0
Energy harvesting,4
Minimization methods,0
Supercapacitors,1
Thermal management,0
CMOS process,0
Low voltage,1
Power engineering and energy,4
Predictive models,3
Q factor,0
Dynamic voltage scaling,51
