System performance,2
Programming,7
System-level design,9
Performance evaluation,1
Computerized monitoring,0
Abstracts,0
Parallel processing,6
Random access memory,1
Multimedia systems,5
Publish-subscribe,0
Concrete,0
Educational institutions,8
Digital signal processors,1
Hardware design languages,4
Baseband,0
Space exploration,21
Aerospace electronics,2
Dynamic scheduling,2
Flash memory,0
Electronic equipment testing,2
Polynomials,0
Nonhomogeneous media,0
Target tracking,0
Circuits,2
Collaborative work,0
Automatic control,3
Field programmable gate arrays,29
Aggregates,1
Dynamic programming,0
Area measurement,0
Logic testing,0
File systems,2
Scheduling,1
Hardware,98
Automata,7
Time varying systems,0
Prototypes,8
Assembly systems,3
Pixel,0
World Wide Web,0
Generators,0
Stochastic processes,0
Throughput,4
Body area networks,0
Solid modeling,0
Manuals,0
Construction industry,0
Microcomputers,0
Registers,2
Biology computing,1
Weaving,0
Video coding,0
Radiation detectors,1
XML,0
Communication system security,0
Software engineering,0
Receivers,0
Biological cells,0
Software,2
Informatics,4
Synchronization,1
Robustness,2
Service oriented architecture,0
Biological system modeling,3
Aerospace industry,0
Graphical models,0
System analysis and design,0
Data visualization,0
Voltage,1
Multicore processing,1
Signal processing algorithms,5
Signal processing,7
Runtime,10
Software performance,10
Image color analysis,0
Computer languages,2
Routing,4
Electronic design automation and methodology,0
Buildings,4
Linux,2
Load management,0
Microorganisms,0
Analytical models,16
Chemicals,0
Adaptation models,0
Technological innovation,1
Encoding,1
Concurrent computing,8
Power system modeling,12
Debugging,0
Software architecture,0
Topology,2
Multicast protocols,0
Microelectronics,1
Time to market,13
Software tools,3
Discrete event simulation,3
Programmable control,0
National security,0
Wheelchairs,1
Harmonic analysis,0
Standards publication,1
Aircraft,1
History,0
Availability,0
Control systems,9
Feedback,1
Video compression,1
Low power electronics,0
Distributed control,1
Logic gates,1
Data processing,0
Logic circuits,0
Convolution,0
Data analysis,0
Telecommunications,2
Modems,1
Collaborative software,0
Production,0
Wireless LAN,0
Yarn,4
Skeleton,0
Cyclic redundancy check,0
Springs,0
Benchmark testing,0
Simulated annealing,0
Microprocessors,14
Optimization methods,3
Power system reliability,0
Smart cards,1
Rendering (computer graphics),0
Design methodology,29
Virtual manufacturing,0
Fault tolerance,0
Video codecs,0
Bandwidth,2
Timing,10
Face detection,0
Detectors,1
Simultaneous localization and mapping,0
Mathematical model,8
Clustering algorithms,0
Navigation,0
Transaction databases,0
