System performance,11
Programming,3
Performance evaluation,1
Computerized monitoring,0
Emulation,2
Servers,1
Displays,0
Abstracts,0
Portable computers,1
Parallel processing,10
Random access memory,46
Multimedia systems,11
Videoconference,0
Banking,1
Educational institutions,3
Digital signal processors,3
Hardware design languages,0
Space exploration,13
Pipelines,9
Dynamic scheduling,7
Aerospace electronics,2
Flash memory,1
Integer linear programming,5
Polynomials,2
Vectors,0
Circuits,3
Automatic control,1
Field programmable gate arrays,7
Councils,1
Aggregates,0
Dynamic programming,2
Area measurement,0
Scheduling,4
Hardware,82
Read only memory,1
Prototypes,1
Assembly systems,0
Charge-coupled image sensors,0
Elliptic curve cryptography,0
Circuit testing,0
State estimation,1
Throughput,3
Lattices,0
Microcomputers,0
Ash,1
Industrial control,0
Registers,18
Maintenance,0
Art,0
Pulp manufacturing,0
Radiation detectors,0
Communication system security,0
Software engineering,0
High performance computing,1
Contracts,1
Nominations and elections,0
Informatics,0
Neutron spin echo,0
Robustness,3
Video on demand,0
Large-scale systems,0
System analysis and design,0
Voltage,1
Multicore processing,10
Interference,10
Event detection,0
Signal processing,5
Signal processing algorithms,6
Runtime,28
Bidirectional control,0
Energy conservation,0
Software performance,17
Computer languages,1
Linux,4
SDRAM,7
Vector processors,1
Cache memory,19
Error correction,0
Analytical models,5
Atherosclerosis,2
Global Positioning System,0
Technological innovation,2
Power system modeling,5
Encoding,3
Concurrent computing,6
Multiplexing,0
Linear programming,1
Time to market,4
Software tools,7
Discrete event simulation,0
Legal factors,0
Image quality,0
Control systems,6
Availability,0
Sun,0
Conference management,0
Feedback,0
Video compression,0
Pollution,3
Associate members,0
Computer applications,4
Data analysis,6
Modems,1
Data engineering,4
Performance loss,1
Production,0
Yarn,1
Codecs,1
Hip,0
Backplanes,0
Benchmark testing,3
Simulated annealing,0
Control system analysis,0
Microprocessors,20
Optimization methods,5
Power system reliability,1
Design methodology,9
Bandwidth,7
Face detection,0
Timing,35
Energy efficiency,18
Cloning,0
Mathematical model,0
Clustering algorithms,0
Greedy algorithms,2
Multitasking,0
TV broadcasting,0
Communication system control,0
Network-on-a-chip,2
Application software,74
Monitoring,0
Optimization,2
System testing,0
Optimizing compilers,21
High-speed networks,0
Measurement,1
Silicon,2
Software testing,0
Approximation algorithms,0
Intelligent systems,0
Logic programming,0
Time frequency analysis,0
Isolation technology,0
Computer science,51
Object oriented modeling,2
Data compression,0
Cryptography,0
Real time systems,60
Consumer electronics,0
Power demand,2
Systems engineering and theory,1
Law,1
Tiles,0
Automatic logic units,0
Temperature,1
Clocks,9
Energy storage,2
Data buses,0
Graphical user interfaces,0
Leakage current,2
Sleep,1
Chaos,0
Optical wavelength conversion,0
Helium,0
Constraint optimization,1
Power dissipation,2
Cost function,9
Digital signal processing chips,1
Central Processing Unit,5
Algorithms,0
Program processors,18
HDTV,0
Automobiles,0
Cache storage,3
Real-time systems,5
Nonvolatile memory,2
Microprocessor chips,0
Context,2
Convergence,0
Software design,4
Graphics,1
System buses,0
Time factors,4
Software radio,1
Voltage control,3
Very large scale integration,8
Virtualization,0
Joining processes,0
Equations,3
National electric code,3
Heuristic algorithms,11
Switches,5
Silicon carbide,0
Operating systems,10
Space heating,0
Cost accounting,0
Upper bound,5
Programming profession,6
Collaboration,2
Machine learning algorithms,0
Impedance,0
Predictive models,3
Prefetching,6
Circuit simulation,2
Dynamic voltage scaling,4
Statistical analysis,0
Information technology,0
High level languages,0
Engines,0
Product design,0
Lifting equipment,0
Out of order,2
Delay estimation,1
Cellular phones,1
Added delay,0
Computer aided instruction,7
Software standards,0
Reliability,0
Vehicles,1
Performance gain,4
Master-slave,0
Packet switching,0
Mobile communication,0
Circuit synthesis,0
Productivity,0
Scanning probe microscopy,45
Resource management,11
Handheld computers,0
Sensors,0
Automotive engineering,0
Power engineering computing,1
Integrated circuits,0
Decoding,3
Reconfigurable architectures,0
Optical imaging,0
Job shop scheduling,4
Multimedia communication,1
Logic devices,1
Arrays,5
Wires,0
Mobile handsets,1
Physics computing,0
Videos,0
Image storage,0
Yield estimation,0
Kernel,10
Frequency,7
Digital cameras,2
Information security,0
Software maintenance,1
Instruments,0
Memory management,51
Scalability,3
Safety,3
Counting circuits,0
Performance analysis,20
Buffer storage,4
Layout,0
System-on-a-chip,38
Process control,2
Table lookup,0
Power system management,18
Code standards,2
Humans,0
Medical services,0
Distributed power generation,0
Organizing,0
Boosting,0
Arithmetic,2
Schedules,3
Flow graphs,2
Software safety,0
Logic arrays,0
Application specific integrated circuits,7
Phase change materials,0
Algorithm design and analysis,13
Computer aided software engineering,0
Quality management,0
Communications technology,0
MPEG 4 Standard,2
Personal digital assistants,0
Electrical equipment industry,0
Energy management,14
Embedded computing,39
Software libraries,2
System-on-chip,2
Environmental management,0
